index,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,travel_date,pickup_area,dropoff_area,lyft_cost,lyft_plus_cost,lyft_line_cost,lyft_distance,lyft_duration
5541,1,2016-01-01 00:32:02,2016-01-01 00:34:00,1,0.2,-73.94401550292969,40.80989074707031,1,N,-73.94183349609375,40.81267166137695,2,3.5,0.5,0.5,0.0,0.0,0.3,4.8,2016-01-01,Manhattan,Manhattan,8.00,12.00,6.88,0.32,187
5542,1,2016-01-01 00:32:02,2016-01-01 00:59:36,1,5.1,-73.98683166503906,40.76642227172852,1,N,-74.0137710571289,40.70921325683594,2,22.0,0.5,0.5,0.0,0.0,0.3,23.3,2016-01-01,Manhattan,Manhattan,22.50,33.50,14.12,5.13,1769
5543,1,2016-01-01 00:32:02,2016-01-01 00:52:14,1,8.7,-73.95906066894531,40.76359939575195,1,N,-73.92594146728516,40.83691787719727,2,24.5,0.5,0.5,0.0,0.0,0.3,25.8,2016-01-01,Manhattan,Bronx,25.50,39.00,21.20,7.18,1691
5544,1,2016-01-01 00:32:02,2016-01-01 01:03:16,1,6.9,-73.96670532226562,40.80431747436523,1,N,-73.98115539550781,40.73382186889648,1,26.5,0.5,0.5,5.55,0.0,0.3,33.35,2016-01-01,Manhattan,Manhattan,28.00,43.00,23.40,6.98,2211
5545,1,2016-01-01 00:32:02,2016-01-01 00:38:49,2,1.6,-73.97502899169923,40.76156997680664,1,N,-73.9583511352539,40.77293395996094,2,7.5,0.5,0.5,0.0,0.0,0.3,8.8,2016-01-01,Manhattan,Manhattan,11.00,16.00,6.49,1.62,803
5546,1,2016-01-01 00:32:03,2016-01-01 00:58:24,2,3.4,-73.98884582519531,40.72697067260742,1,N,-73.99382019042969,40.76182556152344,1,18.0,0.5,0.5,3.85,0.0,0.3,23.15,2016-01-01,Manhattan,Manhattan,18.00,27.00,11.50,3.46,1575
5547,1,2016-01-01 00:32:04,2016-01-01 00:42:40,4,3.0,-73.9619598388672,40.77117156982422,1,Y,-73.95516967773438,40.804683685302734,2,11.0,0.5,0.5,0.0,0.0,0.3,12.3,2016-01-01,Manhattan,Manhattan,15.00,22.50,12.43,3.12,1152
5548,1,2016-01-01 00:32:04,2016-01-01 00:43:18,3,4.4,-74.01576232910156,40.71429443359375,1,N,-73.97789001464844,40.72533416748047,1,14.5,0.5,0.5,2.5,0.0,0.3,18.3,2016-01-01,Manhattan,Manhattan,19.00,29.00,12.20,4.65,1397
5549,1,2016-01-01 00:32:05,2016-01-01 00:43:38,1,3.0,-73.94952392578125,40.8225212097168,1,N,-73.93014526367188,40.85408401489258,1,12.0,0.5,0.5,3.3,0.0,0.3,16.6,2016-01-01,Manhattan,Manhattan,14.50,22.00,12.20,3.17,1080
5550,1,2016-01-01 00:32:05,2016-01-01 00:45:03,1,1.1,-73.99268341064453,40.73715591430664,1,N,-74.00186920166014,40.726993560791016,1,9.5,0.5,0.5,2.15,0.0,0.3,12.95,2016-01-01,Manhattan,Manhattan,11.00,15.50,6.12,1.31,799
5551,1,2016-01-01 00:32:06,2016-01-01 00:54:40,2,5.5,-73.95956420898438,40.77705383300781,1,N,-73.95793151855469,40.721992492675774,1,20.5,0.5,0.5,5.45,0.0,0.3,27.25,2016-01-01,Manhattan,Brooklyn,26.50,40.50,22.20,6.44,2001
5552,1,2016-01-01 00:32:06,2016-01-01 00:40:15,1,1.5,-73.95132446289062,40.77748489379883,1,N,-73.96703338623048,40.76904296875,2,8.0,0.5,0.5,0.0,0.0,0.3,9.3,2016-01-01,Manhattan,Manhattan,11.50,16.00,6.79,1.53,910
5553,1,2016-01-01 00:32:06,2016-01-01 00:52:48,1,4.7,-73.99833679199219,40.74054336547852,1,N,-73.95462799072266,40.71669387817383,1,18.0,0.5,0.5,3.85,0.0,0.3,23.15,2016-01-01,Manhattan,Brooklyn,25.00,37.50,20.64,5.6,1980
5554,1,2016-01-01 00:32:06,2016-01-01 00:51:42,1,2.8,-74.00625610351562,40.73368453979492,1,N,-73.98855590820312,40.764961242675774,1,14.0,0.5,0.5,2.0,0.0,0.3,17.3,2016-01-01,Manhattan,Manhattan,15.50,23.00,9.64,2.96,1238
5555,1,2016-01-01 00:32:06,2016-01-01 00:58:44,2,11.0,-73.96186065673827,40.81035614013672,1,N,-73.85637664794923,40.73112487792969,1,33.5,0.5,0.5,8.05,5.54,0.3,48.39,2016-01-01,Manhattan,Queens,42.50,63.00,35.50,11.37,2380
5556,1,2016-01-01 00:32:06,2016-01-01 00:35:24,2,0.7,-73.982666015625,40.77718353271485,1,N,-73.97416687011719,40.78388214111328,1,5.0,0.5,0.5,1.0,0.0,0.3,7.3,2016-01-01,Manhattan,Manhattan,9.00,13.00,5.20,0.85,449
5557,1,2016-01-01 00:32:07,2016-01-01 00:59:31,2,15.4,-73.98897552490234,40.69177627563477,1,N,-73.90679168701173,40.83836364746094,1,42.0,0.5,0.5,12.95,0.0,0.3,56.25,2016-01-01,Brooklyn,Bronx,46.00,71.50,38.20,15.21,2721
5558,1,2016-01-01 00:32:07,2016-01-01 00:37:58,1,0.7,-73.97333526611328,40.76356887817383,1,N,-73.9615478515625,40.76185989379883,2,5.5,0.5,0.5,0.0,0.0,0.3,6.8,2016-01-01,Manhattan,Manhattan,9.50,14.00,5.20,0.87,659
5559,1,2016-01-01 00:32:07,2016-01-01 00:38:32,1,1.5,-73.9801254272461,40.780616760253906,1,N,-73.96820068359375,40.79943466186523,1,7.0,0.5,0.5,1.7,0.0,0.3,10.0,2016-01-01,Manhattan,Manhattan,10.50,15.00,7.51,1.58,616
5560,1,2016-01-01 00:32:07,2016-01-01 00:37:57,1,0.8,-73.9708480834961,40.76210403442383,1,N,-73.96533966064453,40.77166366577149,1,6.0,0.5,0.5,1.45,0.0,0.3,8.75,2016-01-01,Manhattan,Manhattan,9.00,13.00,5.20,0.87,474
5561,1,2016-01-01 00:32:07,2016-01-01 00:50:25,1,2.8,-73.98123931884766,40.75019073486328,1,N,-73.97675323486328,40.751819610595696,2,13.5,0.5,0.5,0.0,0.0,0.3,14.8,2016-01-01,Manhattan,Manhattan,8.50,12.00,5.35,0.41,357
5562,1,2016-01-01 00:32:07,2016-01-01 00:48:42,2,2.4,-73.9795913696289,40.776405334472656,1,N,-73.97043609619139,40.75252914428711,1,12.5,0.5,0.5,2.76,0.0,0.3,16.56,2016-01-01,Manhattan,Manhattan,15.00,22.50,9.47,2.53,1321
5563,1,2016-01-01 00:32:08,2016-01-01 00:56:05,1,8.9,-74.00048065185547,40.72881317138672,1,N,-73.8650131225586,40.73091125488281,1,28.5,0.5,0.5,3.0,0.0,0.3,32.8,2016-01-01,Manhattan,Queens,33.00,50.00,27.40,9.3,2123
5564,1,2016-01-01 00:32:08,2016-01-01 00:54:29,1,3.4,-73.98869323730467,40.76583862304688,1,N,-73.98206329345702,40.7404899597168,1,16.0,0.5,0.5,5.15,0.0,0.3,22.45,2016-01-01,Manhattan,Manhattan,17.00,25.50,10.74,2.94,1534
5565,1,2016-01-01 00:32:09,2016-01-01 00:37:03,1,0.8,-73.96286010742188,40.75837326049805,1,N,-73.96876525878906,40.75992202758789,2,5.5,0.5,0.5,0.0,0.0,0.3,6.8,2016-01-01,Manhattan,Manhattan,9.00,13.00,5.20,0.69,491
5566,1,2016-01-01 00:32:09,2016-01-01 00:39:36,2,1.2,-73.99729919433594,40.72228622436523,1,N,-74.0062026977539,40.708171844482415,2,7.0,0.5,0.5,0.0,0.0,0.3,8.3,2016-01-01,Manhattan,Manhattan,10.50,15.00,6.00,1.34,758
